Report_ID,Crime_Type,Severity,Latitude,Longitude,Timestamp
47,Robbery,Critical,5.800314,122.425954,2024-04-24 15:20:00
48,Robbery,High,16.918796,116.753735,2024-02-19 11:42:00
49,Vandalism,Medium,6.678413,125.79316,2024-06-28 06:55:00
50,Robbery,High,10.869149,122.420395,2024-08-18 08:57:00
51,Burglary,Medium,14.376164,119.456022,2024-07-12 09:57:00
52,Fire Incident,Critical,6.832296,123.100509,2024-11-28 22:34:00
53,Domestic Violence,High,5.130416,122.832752,2024-03-13 19:17:00
54,Assault,High,12.082386,117.457022,2024-09-11 03:22:00
55,Assault,High,10.173379,117.735215,2024-08-08 06:52:00
56,Theft,High,18.044585,117.139452,2024-04-07 18:54:00
57,Burglary,Medium,17.455978,124.166584,2024-04-23 04:38:00
58,Burglary,High,13.467618,123.893734,2024-05-28 06:07:00
59,Burglary,High,8.515698,125.98975,2024-02-06 23:46:00
60,Assault,Critical,16.610873,116.484954,2024-08-30 21:19:00
61,Kidnapping,Critical,13.919587,118.881508,2024-11-17 17:38:00
62,Fraud,Medium,6.566234,126.39556,2024-04-18 12:54:00
63,Robbery,Critical,13.155134,117.629032,2024-04-02 19:16:00
64,Robbery,Critical,10.105121,126.263968,2024-01-30 01:12:00
65,Traffic Accident,Medium,14.548934,123.336268,2024-09-14 12:58:00
66,Fraud,Medium,17.960694,118.604111,2024-04-28 07:55:00
67,Drug Possession,High,5.347009,124.102209,2024-08-29 21:21:00
68,Fraud,Medium,8.73528,124.66112,2024-03-19 17:06:00
69,Fire Incident,Critical,17.210335,125.444526,2024-06-10 23:18:00
70,Drug Trafficking,Critical,9.895218,125.0259,2024-06-14 17:31:00
71,Vandalism,Low,14.240465,120.383126,2024-07-21 20:56:00
72,Assault,Critical,9.916046,121.603462,2024-08-29 03:15:00
73,Theft,Medium,17.278538,118.873367,2024-07-12 07:21:00
74,Robbery,High,13.351998,119.802558,2024-08-16 09:54:00
75,Fraud,Medium,10.392736,122.342468,2024-07-04 11:35:00
76,Robbery,Critical,5.023678,126.181327,2024-05-23 11:26:00
77,Traffic Accident,High,5.979633,123.306615,2024-08-28 10:39:00
78,Domestic Violence,High,15.07656,119.303545,2024-08-13 05:08:00
79,Fraud,High,10.633605,119.252207,2024-04-02 16:30:00
80,Drug Trafficking,Critical,14.309012,120.170598,2024-05-06 17:20:00
81,Cybercrime,High,12.671121,116.004465,2024-07-27 22:10:00
82,Drug Trafficking,Critical,16.000624,122.673277,2024-08-22 15:42:00
83,Terrorism Threat,Critical,11.185004,123.4319,2024-12-10 13:31:00
84,Drug Possession,Medium,8.97301,123.302392,2024-09-01 01:50:00
85,Assault,High,14.419139,118.471047,2024-05-25 00:02:00
86,Kidnapping,Critical,5.341955,118.693268,2024-12-11 23:36:00
87,Assault,Critical,10.802174,122.927419,2024-05-21 14:00:00
88,Fire Incident,Critical,11.92128,118.683829,2024-01-05 00:54:00
89,Homicide,Critical,15.897886,118.407253,2024-12-04 06:35:00
90,Robbery,High,17.84458,117.334945,2024-04-07 02:16:00
91,Terrorism Threat,Critical,14.346088,126.866817,2024-08-19 01:11:00
92,Terrorism Threat,Critical,13.577133,123.912014,2024-11-06 17:50:00
93,Terrorism Threat,Critical,17.560913,124.18021,2024-12-11 15:32:00
94,Terrorism Threat,Critical,8.628682,118.719637,2024-07-20 22:22:00
95,Public Disturbance,Low,8.844364,116.852317,2024-07-27 01:27:00
96,Vandalism,Medium,9.701866,125.823295,2024-02-28 16:11:00
97,Kidnapping,Critical,7.111629,120.213388,2024-04-21 06:27:00
98,Drug Trafficking,High,10.808151,119.639695,2024-12-05 06:37:00
99,Fraud,Medium,7.895681,120.621579,2024-01-15 05:20:00
100,Fire Incident,Critical,11.677716,126.370158,2024-08-05 10:38:00
101,Fire Incident,Critical,16.948271,126.487734,2024-11-01 02:55:00
102,Vandalism,Medium,8.071903,120.794196,2024-01-22 03:14:00
103,Fire Incident,Critical,9.705814,123.470561,2024-10-21 09:56:00
104,Drug Possession,High,17.873583,126.787942,2024-01-20 15:16:00
105,Fire Incident,Critical,13.286499,123.292997,2024-03-02 03:05:00
106,Fraud,Medium,17.135919,117.999019,2024-07-08 10:33:00
107,Fire Incident,Critical,9.582937,121.001693,2024-09-02 18:14:00
108,Fire Incident,Critical,8.895593,126.463245,2024-11-02 23:22:00
109,Burglary,Medium,11.584296,124.239267,2024-02-07 22:15:00
110,Traffic Accident,Medium,14.102017,124.593564,2024-01-30 07:33:00
111,Theft,Medium,7.79105,116.22418,2024-04-20 23:04:00
112,Vandalism,Low,11.629855,117.258284,2024-06-07 17:12:00
113,Terrorism Threat,Critical,14.79251,124.435879,2024-05-02 04:19:00
114,Homicide,Critical,15.889086,117.801424,2024-08-14 11:47:00
115,Homicide,Critical,13.101586,126.217759,2024-09-30 06:57:00
116,Fire Incident,Critical,18.180588,118.181628,2024-06-25 20:06:00
117,Homicide,Critical,14.760702,119.31741,2024-03-29 03:35:00
118,Robbery,Critical,12.458433,123.276735,2024-02-20 05:06:00
119,Domestic Violence,High,16.894059,125.04564,2024-03-17 20:25:00
120,Fraud,High,13.898191,125.11578,2024-04-21 09:42:00
121,Fraud,Medium,15.273134,126.620211,2024-07-15 16:01:00
122,Public Disturbance,Medium,11.098043,124.041288,2024-07-14 10:33:00
123,Domestic Violence,High,16.630234,116.953292,2024-11-24 06:20:00
124,Vandalism,Medium,12.977895,123.350073,2024-09-01 22:57:00
125,Theft,High,16.91334,118.000238,2024-06-03 11:03:00
126,Traffic Accident,High,9.764744,125.68352,2024-07-20 04:08:00
127,Theft,Medium,6.198581,123.920821,2024-12-21 18:31:00
128,Vandalism,Medium,14.042641,121.399035,2024-01-13 13:20:00
129,Assault,Critical,8.10235,123.609659,2024-08-10 23:20:00
130,Traffic Accident,High,12.748621,119.781331,2024-08-28 20:59:00
131,Traffic Accident,High,8.79283,118.76544,2024-03-28 20:36:00
132,Drug Trafficking,Critical,6.673766,121.894504,2024-05-14 19:43:00
133,Drug Trafficking,High,15.340465,119.041496,2024-07-25 01:45:00
134,Homicide,Critical,16.656797,119.258711,2024-09-19 18:51:00
135,Drug Possession,High,5.198077,121.875486,2024-07-18 17:56:00
136,Robbery,High,12.747026,123.671591,2024-04-01 22:53:00
137,Public Disturbance,Low,17.218076,122.314706,2024-12-07 19:18:00
138,Public Disturbance,Medium,9.769883,126.620474,2024-07-02 20:22:00
139,Public Disturbance,Low,16.509619,120.407782,2024-02-23 22:40:00
140,Robbery,High,7.088766,122.191236,2024-08-09 05:54:00
141,Assault,High,6.658322,124.408878,2024-06-13 08:10:00
142,Fire Incident,Critical,11.307203,120.869931,2024-11-08 06:20:00
143,Cybercrime,Medium,13.534833,124.140982,2024-05-31 07:21:00
144,Drug Trafficking,Critical,14.245994,117.727628,2024-05-06 13:36:00
145,Assault,High,5.03746,120.955541,2024-12-08 04:18:00
146,Cybercrime,Medium,8.240667,123.776514,2024-11-26 14:46:00
147,Assault,High,17.934755,124.666108,2024-05-24 01:08:00
148,Fraud,Medium,12.623873,123.123982,2024-07-12 10:15:00
149,Kidnapping,Critical,5.999738,117.825151,2024-08-11 23:54:00
150,Cybercrime,High,6.740951,123.575458,2024-10-20 02:20:00
151,Burglary,High,11.128624,122.578403,2024-11-10 14:14:00
152,Domestic Violence,Critical,5.362108,118.518169,2024-01-16 02:33:00
153,Burglary,Medium,15.683526,117.927098,2024-11-18 00:31:00
154,Burglary,Medium,18.957237,120.794735,2024-12-24 01:31:00
155,Assault,Critical,9.871455,119.666392,2024-03-17 04:00:00
156,Drug Possession,High,10.763031,121.450159,2024-10-18 14:24:00
157,Robbery,Critical,6.232837,118.776387,2024-03-25 09:52:00
158,Fire Incident,Critical,17.108748,125.074199,2024-01-01 20:06:00
159,Terrorism Threat,Critical,10.785466,118.063408,2024-09-20 10:33:00
160,Public Disturbance,Medium,15.639868,118.239141,2024-04-05 09:37:00
161,Cybercrime,High,17.331853,121.33183,2024-01-22 00:31:00
162,Vandalism,Low,9.350502,116.150419,2024-10-24 02:09:00
163,Assault,High,18.8916,126.042229,2024-12-02 00:23:00
164,Homicide,Critical,14.067936,117.693682,2024-07-31 12:39:00
165,Burglary,High,16.686135,126.782691,2024-06-26 11:30:00
166,Terrorism Threat,Critical,12.717711,120.219446,2024-04-09 09:39:00
167,Assault,Critical,15.817452,125.398536,2024-09-04 11:45:00
168,Burglary,Medium,8.959746,119.284114,2024-12-22 13:05:00
169,Kidnapping,Critical,11.251664,121.327755,2024-08-30 01:48:00
170,Fire Incident,Critical,11.374825,119.539551,2024-05-17 08:56:00
171,Vandalism,Medium,8.269874,124.530989,2024-02-01 18:47:00
172,Domestic Violence,Critical,14.87319,124.925498,2024-10-08 03:12:00
173,Kidnapping,Critical,11.934601,116.407216,2024-08-29 18:01:00
174,Homicide,Critical,17.238665,120.843368,2024-11-28 17:23:00
175,Theft,Medium,10.739701,123.202595,2024-04-22 09:39:00
176,Assault,Critical,15.941354,118.915251,2024-10-16 10:31:00
177,Assault,Critical,16.932779,125.452764,2024-10-03 17:08:00
178,Domestic Violence,Critical,17.213362,116.39489,2024-02-19 19:44:00
179,Vandalism,Medium,18.963963,124.21443,2024-11-12 00:12:00
180,Homicide,Critical,15.645176,123.742799,2024-03-14 04:29:00
181,Terrorism Threat,Critical,7.329107,119.294127,2024-01-22 01:53:00
182,Robbery,Critical,16.146009,119.227046,2024-09-29 22:49:00
183,Fraud,Medium,8.418764,120.532569,2024-05-11 02:43:00
184,Drug Possession,Medium,6.105557,125.579236,2024-06-24 08:48:00
185,Public Disturbance,Low,8.250638,123.016951,2024-11-30 15:34:00
186,Burglary,Medium,17.584719,121.117786,2024-07-28 10:43:00
187,Drug Possession,Medium,11.184217,119.801222,2024-08-05 20:05:00
188,Fraud,High,11.395701,119.323338,2024-10-07 03:00:00
189,Public Disturbance,Low,8.32088,122.29115,2024-08-03 10:44:00
190,Cybercrime,Medium,18.691223,123.240528,2024-07-18 20:53:00
191,Theft,Medium,17.748637,124.196894,2024-07-27 09:36:00
192,Vandalism,Medium,8.066064,118.091452,2024-07-01 12:01:00
193,Kidnapping,Critical,13.795473,125.937441,2024-01-29 16:57:00
194,Cybercrime,High,5.467103,120.013474,2024-04-05 16:35:00
195,Assault,Critical,9.574068,120.570534,2024-05-26 05:08:00
196,Kidnapping,Critical,16.011179,125.641067,2024-09-23 09:49:00
197,Burglary,Medium,8.597581,125.071588,2024-12-16 20:54:00
198,Cybercrime,High,16.259256,121.151645,2024-02-24 19:57:00
199,Kidnapping,Critical,15.558121,118.481762,2024-10-16 09:16:00
200,Traffic Accident,Medium,16.069548,116.153105,2024-03-30 23:52:00
201,Terrorism Threat,Critical,10.160199,124.239128,2024-07-09 21:36:00
202,Fire Incident,Critical,16.513842,126.343211,2024-03-19 21:29:00
203,Vandalism,Medium,5.350345,125.726583,2024-08-26 20:19:00
204,Vandalism,Low,13.895655,121.106943,2024-08-08 01:09:00
205,Fraud,Medium,6.956878,126.408877,2024-08-09 15:09:00
206,Public Disturbance,Low,6.360688,125.759852,2024-04-08 18:54:00
207,Fire Incident,Critical,11.351013,123.375348,2024-11-01 04:46:00
208,Kidnapping,Critical,17.395793,123.204141,2024-12-22 07:57:00
209,Fraud,High,5.458028,120.07583,2024-11-18 20:40:00
210,Terrorism Threat,Critical,18.307772,125.409952,2024-03-13 08:20:00
211,Traffic Accident,High,5.847701,119.034696,2024-03-29 22:53:00
212,Terrorism Threat,Critical,6.283428,118.333164,2024-01-16 13:14:00
213,Robbery,Critical,8.409965,117.385163,2024-05-29 10:13:00
214,Assault,High,13.209363,124.943583,2024-06-18 15:56:00
215,Domestic Violence,High,16.041013,122.555798,2024-07-20 21:43:00
216,Kidnapping,Critical,18.825382,121.94237,2024-05-07 01:33:00
217,Homicide,Critical,14.254807,116.283582,2024-01-11 19:42:00
218,Traffic Accident,Medium,13.243941,116.173592,2024-07-12 05:38:00
219,Robbery,High,15.384053,121.786941,2024-02-16 06:45:00
220,Public Disturbance,Medium,15.892239,121.645618,2024-03-20 09:51:00
221,Terrorism Threat,Critical,12.053742,126.399572,2024-02-01 13:51:00
222,Cybercrime,High,14.00677,116.342657,2024-12-14 18:48:00
223,Fire Incident,Critical,10.967831,117.18758,2024-11-18 23:48:00
224,Assault,High,9.509565,117.631672,2024-04-01 21:21:00
225,Burglary,High,10.332662,122.57131,2024-08-02 17:42:00
226,Terrorism Threat,Critical,12.077715,120.732193,2024-03-24 07:31:00
227,Drug Trafficking,Critical,11.321769,118.513429,2024-09-03 19:15:00
228,Terrorism Threat,Critical,10.582223,124.025738,2024-08-15 14:10:00
229,Fraud,High,14.31151,120.117311,2024-04-21 03:33:00
230,Public Disturbance,Low,6.277147,116.939008,2024-11-10 11:35:00
231,Homicide,Critical,15.424246,120.099115,2024-04-04 17:55:00
232,Robbery,Critical,14.380186,120.518895,2024-11-03 23:21:00
233,Robbery,Critical,13.405741,119.868108,2024-06-03 21:52:00
234,Kidnapping,Critical,14.194308,118.466694,2024-03-19 19:15:00
235,Traffic Accident,High,6.608394,119.06425,2024-06-13 16:24:00
236,Fraud,Medium,13.525929,123.236144,2024-07-13 17:59:00
237,Theft,Medium,8.825785,124.386505,2024-09-04 10:51:00
238,Traffic Accident,Medium,7.539678,117.575766,2024-10-18 20:12:00
239,Assault,High,15.373567,126.689914,2024-03-07 19:34:00
240,Drug Trafficking,Critical,10.877655,119.749856,2024-09-26 11:08:00
241,Cybercrime,High,15.875699,122.243529,2024-03-02 20:43:00
242,Robbery,High,7.203739,122.79622,2024-02-29 09:44:00
243,Burglary,High,14.267142,121.342279,2024-11-17 21:16:00
244,Fraud,High,8.017966,121.635809,2024-09-08 08:19:00
245,Fraud,Medium,8.965451,123.463349,2024-12-20 08:31:00
246,Cybercrime,Medium,8.087258,126.828902,2024-02-09 21:23:00
247,Theft,Medium,9.219871,118.323574,2024-04-09 22:21:00
248,Burglary,High,9.593713,116.085029,2024-11-09 14:14:00
249,Drug Possession,Medium,10.322904,123.740384,2024-12-30 06:43:00
250,Traffic Accident,Medium,10.558996,124.162455,2024-11-13 15:29:00
251,Theft,High,17.896274,125.48321,2024-11-08 14:17:00
252,Fire Incident,Critical,14.932985,120.594634,2024-03-24 20:48:00
253,Fire Incident,Critical,5.291992,119.57245,2024-12-01 00:46:00
254,Traffic Accident,Medium,11.113965,117.164494,2024-11-13 05:59:00
255,Fire Incident,Critical,12.335476,120.353434,2024-08-13 22:26:00
256,Domestic Violence,High,9.662961,117.84946,2024-03-24 00:45:00
257,Drug Trafficking,Critical,9.915396,126.540457,2024-04-17 13:04:00
258,Vandalism,Low,7.050219,118.16999,2024-04-21 07:35:00
259,Assault,High,18.31809,122.907436,2024-12-03 20:10:00
260,Terrorism Threat,Critical,14.535869,125.70253,2024-08-23 08:28:00
261,Domestic Violence,High,11.156679,121.158132,2024-08-08 12:10:00
262,Burglary,Medium,9.927191,116.816097,2024-12-02 05:32:00
263,Terrorism Threat,Critical,5.526501,120.056114,2024-07-28 01:02:00
264,Assault,High,13.610117,121.577746,2024-12-02 22:28:00
265,Robbery,Critical,17.726699,122.288224,2024-05-17 01:43:00
266,Domestic Violence,Critical,12.019142,126.534946,2024-11-24 01:27:00
267,Homicide,Critical,16.353535,125.211149,2024-03-02 09:45:00
268,Drug Possession,Medium,8.468412,120.815341,2024-11-15 23:27:00
269,Drug Possession,High,10.219928,119.111829,2024-10-24 15:45:00
270,Domestic Violence,High,16.049177,123.120359,2024-02-17 23:53:00
271,Domestic Violence,High,12.811485,120.252206,2024-07-02 11:56:00
272,Kidnapping,Critical,9.667069,122.410135,2024-04-12 23:38:00
273,Traffic Accident,High,18.547751,123.68328,2024-10-12 09:57:00
274,Kidnapping,Critical,13.330577,126.318024,2024-08-13 10:20:00
275,Fire Incident,Critical,14.008906,119.613242,2024-04-03 01:21:00
276,Assault,Critical,12.118839,116.200536,2024-08-12 21:49:00
277,Drug Possession,Medium,9.784253,124.427718,2024-05-19 19:32:00
278,Vandalism,Low,7.169232,119.253713,2024-03-14 15:33:00
279,Robbery,Critical,17.269499,122.798346,2024-10-01 07:39:00
280,Kidnapping,Critical,7.271461,125.144796,2024-04-30 13:00:00
281,Terrorism Threat,Critical,5.611694,120.007294,2024-06-21 23:08:00
282,Terrorism Threat,Critical,13.548336,124.276303,2024-11-22 21:35:00
283,Vandalism,Low,9.332551,124.894863,2024-12-07 12:38:00
284,Drug Trafficking,Critical,14.496296,122.274613,2024-11-16 19:59:00
285,Terrorism Threat,Critical,15.77214,124.559364,2024-10-31 20:37:00
286,Drug Possession,Medium,16.217629,117.522384,2024-07-01 01:07:00
287,Robbery,Critical,17.237637,122.099948,2024-03-15 16:53:00
288,Homicide,Critical,8.990882,124.394285,2024-07-17 15:22:00
289,Terrorism Threat,Critical,17.674287,117.620835,2024-11-14 13:23:00
290,Assault,High,16.433846,125.730928,2024-01-20 10:05:00
291,Fraud,Medium,10.550356,120.113576,2024-10-08 04:44:00
292,Assault,Critical,8.143543,119.505534,2024-03-13 03:36:00
293,Domestic Violence,High,6.926394,119.155673,2024-12-10 00:44:00
294,Kidnapping,Critical,15.623776,121.160211,2024-01-04 19:46:00
295,Assault,High,8.582935,125.184594,2024-11-04 04:54:00
296,Homicide,Critical,15.866417,118.614042,2024-03-29 17:27:00
297,Robbery,High,10.877558,124.73289,2024-11-28 20:38:00
298,Assault,High,16.713628,121.498121,2024-01-12 23:13:00
299,Vandalism,Low,9.077808,116.017208,2024-09-13 21:54:00
300,Vandalism,Medium,7.622395,123.350364,2024-09-19 14:00:00
301,Assault,High,10.466352,121.171486,2024-10-08 17:14:00
302,Traffic Accident,High,15.462432,119.928033,2024-02-19 04:41:00
303,Traffic Accident,Medium,15.261174,122.910827,2024-08-30 03:11:00
304,Kidnapping,Critical,5.6207,122.006151,2024-05-07 11:54:00
305,Terrorism Threat,Critical,18.731469,121.263843,2024-05-12 17:32:00
306,Kidnapping,Critical,5.883408,124.538094,2024-11-29 06:31:00
307,Robbery,Critical,7.822274,124.702201,2024-01-31 12:21:00
308,Domestic Violence,Critical,12.21537,126.88035,2024-12-10 17:15:00
309,Burglary,Medium,15.546073,118.102138,2024-09-16 22:34:00
310,Robbery,Critical,8.825032,124.792767,2024-11-14 04:16:00
311,Fire Incident,Critical,15.406308,125.841012,2024-10-08 13:06:00
312,Domestic Violence,High,11.946845,121.472757,2024-07-13 05:16:00
313,Assault,Critical,6.104978,122.626986,2024-05-11 09:42:00
314,Cybercrime,High,6.436371,119.607119,2024-08-03 06:40:00
315,Cybercrime,High,13.436703,120.687277,2024-11-19 05:51:00
316,Traffic Accident,High,5.592972,125.570409,2024-09-13 17:25:00
317,Fraud,High,13.95257,124.706256,2024-02-11 18:24:00
318,Assault,Critical,10.086356,124.812056,2024-04-26 11:58:00
319,Theft,Medium,16.88137,123.458978,2024-11-15 01:37:00
320,Robbery,High,5.941267,124.563669,2024-09-23 18:03:00
321,Traffic Accident,High,18.29254,116.356239,2024-04-21 17:31:00
322,Terrorism Threat,Critical,18.283529,120.092147,2024-02-25 23:40:00
323,Kidnapping,Critical,12.412438,120.378375,2024-07-21 22:27:00
324,Vandalism,Low,5.362787,118.046529,2024-10-08 19:05:00
325,Homicide,Critical,8.664873,118.863187,2024-11-20 23:11:00
326,Drug Trafficking,Critical,14.715729,126.984917,2024-05-25 18:22:00
327,Homicide,Critical,6.900198,116.814572,2024-05-05 17:23:00
328,Terrorism Threat,Critical,18.961674,124.915645,2024-08-20 17:12:00
329,Traffic Accident,Medium,12.69996,119.193985,2024-08-06 10:07:00
330,Drug Possession,Medium,16.111749,121.596313,2024-03-29 08:57:00
331,Drug Trafficking,High,8.314307,121.434241,2024-09-19 19:07:00
332,Traffic Accident,High,16.251264,122.068116,2024-03-03 18:43:00
333,Assault,Critical,10.57424,123.88627,2024-12-14 13:16:00
334,Fraud,High,16.526752,116.811258,2024-08-18 20:27:00
335,Assault,Critical,11.521665,121.69096,2024-04-03 10:48:00
336,Drug Possession,Medium,11.056656,126.017835,2024-02-10 08:24:00
337,Homicide,Critical,12.25343,119.34537,2024-04-27 22:34:00
338,Domestic Violence,High,9.844323,126.349945,2024-07-25 20:06:00
339,Assault,Critical,7.748227,126.519868,2024-07-18 20:22:00
340,Kidnapping,Critical,13.750313,122.758711,2024-03-09 00:46:00
341,Drug Possession,Medium,7.396809,122.869271,2024-09-02 20:19:00
342,Robbery,High,6.13712,126.434015,2024-07-11 17:11:00
343,Drug Trafficking,Critical,13.653518,116.333145,2024-07-29 22:22:00
344,Cybercrime,High,8.428291,124.880842,2024-10-22 16:58:00
345,Cybercrime,High,6.021622,116.659043,2024-11-16 02:39:00
346,Fraud,High,11.50219,119.742118,2024-04-14 14:47:00
347,Domestic Violence,Critical,15.278797,125.468551,2024-10-17 08:04:00
348,Kidnapping,Critical,15.64931,121.664781,2024-03-18 07:41:00
349,Domestic Violence,High,11.530616,118.942188,2024-06-29 12:41:00
350,Kidnapping,Critical,6.355363,119.192332,2024-10-06 17:30:00
351,Fraud,Medium,18.477602,125.925419,2024-08-26 10:21:00
352,Domestic Violence,High,15.683699,121.480921,2024-12-05 22:11:00
353,Public Disturbance,Medium,11.963184,116.99054,2024-10-13 08:24:00
354,Terrorism Threat,Critical,18.533613,118.366589,2024-09-13 23:17:00
355,Robbery,High,8.938989,122.572706,2024-12-08 16:06:00
356,Cybercrime,Medium,16.860413,120.740205,2024-07-11 13:59:00
357,Traffic Accident,High,10.123123,120.406398,2024-05-21 17:50:00
358,Traffic Accident,High,6.029444,121.546811,2024-07-22 16:28:00
359,Homicide,Critical,6.801287,117.063496,2024-09-28 18:06:00
360,Domestic Violence,Critical,15.569512,118.189637,2024-10-19 06:44:00
361,Robbery,High,5.544796,123.84951,2024-12-10 23:16:00
362,Terrorism Threat,Critical,7.085169,125.824449,2024-04-11 18:50:00
363,Domestic Violence,Critical,7.275029,126.896773,2024-08-05 21:29:00
364,Domestic Violence,Critical,14.922357,119.297696,2024-01-13 02:45:00
365,Traffic Accident,High,14.433289,126.778878,2024-08-12 01:03:00
366,Theft,High,8.717426,123.211501,2024-06-14 16:36:00
367,Robbery,Critical,7.387169,122.919278,2024-10-03 20:18:00
368,Kidnapping,Critical,16.503258,118.664162,2024-03-21 00:33:00
369,Drug Trafficking,High,11.17454,120.606583,2024-10-27 17:00:00
370,Drug Trafficking,Critical,12.025473,122.726259,2024-12-09 09:54:00
371,Robbery,High,12.261565,122.169755,2024-12-14 08:08:00
372,Fire Incident,Critical,9.392536,117.905007,2024-09-06 06:35:00
373,Traffic Accident,High,13.541072,118.114906,2024-06-28 12:14:00
374,Burglary,High,8.148139,126.702017,2024-08-04 17:11:00
375,Cybercrime,Medium,14.663359,121.379034,2024-12-15 09:10:00
376,Traffic Accident,High,9.029051,122.308245,2024-10-03 11:38:00
377,Fire Incident,Critical,16.457284,126.500697,2024-04-16 15:51:00
378,Cybercrime,Medium,9.026825,123.855554,2024-09-09 05:08:00
379,Terrorism Threat,Critical,14.183609,124.220723,2024-06-04 19:41:00
380,Drug Trafficking,Critical,18.062335,123.657884,2024-04-09 23:01:00
381,Homicide,Critical,13.619478,122.455135,2024-06-25 13:15:00
382,Robbery,High,13.931224,116.577402,2024-10-27 22:57:00
383,Domestic Violence,Critical,6.407629,124.478427,2024-01-04 18:33:00
384,Drug Possession,High,14.140499,125.687122,2024-12-12 09:27:00
385,Public Disturbance,Low,15.582755,119.159695,2024-07-26 19:59:00
386,Robbery,High,14.132182,118.554422,2024-01-28 03:50:00
387,Drug Possession,High,17.35143,117.933676,2024-01-27 11:05:00
388,Fire Incident,Critical,16.031449,118.049428,2024-07-29 18:48:00
389,Robbery,High,9.177491,122.630613,2024-08-31 23:17:00
390,Cybercrime,High,18.847393,121.976305,2024-12-25 15:44:00
391,Kidnapping,Critical,16.914836,121.148228,2024-05-20 09:37:00
392,Homicide,Critical,9.629577,124.042312,2024-07-06 08:01:00
393,Drug Possession,Medium,15.312651,124.698444,2024-05-20 15:44:00
394,Drug Possession,High,16.577858,121.668087,2024-03-04 03:51:00
395,Fire Incident,Critical,14.369582,118.032593,2024-04-12 09:22:00
396,Public Disturbance,Medium,18.101555,116.075131,2024-10-06 07:26:00
397,Vandalism,Medium,15.552593,126.494383,2024-08-07 20:53:00
398,Theft,High,14.151567,123.620454,2024-02-15 05:42:00
399,Homicide,Critical,11.51553,117.756885,2024-08-14 10:44:00
400,Homicide,Critical,13.941959,126.346992,2024-09-24 15:17:00
