description,severity
May naganap na lagay sa barangay. Nakatakas ang suspetsado.,High
"fraud discovered at kapitbahayan. Evidence collected, suspect identified.",High
"attack case at apartment. Victim rescued, suspects arrested.",High
"Past smuggling at mall. Suspects at large, investigation needed.",High
May naiulat na nakawin sa palengke. Maliit na pinsala ang naganap.,Moderate
Lost property report at commercial district. Item turned in for safekeeping.,Low
"May nakaraang pamamaril sa barangay. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
"Found property at market. Item recovered, no suspect.",Low
May insidente ng violence sa kanto. May armas pa ang suspetsado at nandiyan pa.,Immediate
"Serious human trafficking reported at school. Victim hospitalized, investigation ongoing.",High
noise incident at apartment. Situation resolved peacefully.,Moderate
May insidente ng pagpatay sa barangay. May armas pa ang suspetsado at nandiyan pa.,Immediate
"May kaso ng lagay sa palengke. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
Organized sexual assault at commercial district. Major investigation underway.,High
vandalism disturbance at commercial district. Suspect left the area.,Moderate
Active shooting happening at mall. Victim in immediate danger.,Immediate
"gang violence discovered at school. Evidence collected, suspect identified.",High
May maliit na karaniwan sa apartment. Kailangan ng karaniwang pag-aayos.,Low
May insidente ng kidnap sa kapitbahayan. May armas pa ang suspetsado at nandiyan pa.,Immediate
May naiulat na nawawalang gamit sa palengke. Ibinigay ang gamit para sa pag-iingat.,Low
"May nakawin sa barangay. Verbal na insidente, walang pisikal na pinsala.",Moderate
May kotong na naganap sa gusali. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
May seryosong karahasan na operasyon sa kapitbahayan. Malaking pinsala ang naganap.,High
disorderly at park. Small value items involved.,Moderate
"May guluhin sa kanto. Verbal na insidente, walang pisikal na pinsala.",Moderate
"drug dealing discovered at kapitbahayan. Evidence collected, suspect identified.",High
"May reklamo ng pag-aayos sa kapitbahayan. Karaniwang bagay, walang kagyatan.",Low
May insidente ng nakawin sa simbahan. Na-resolve nang mapayapa ang sitwasyon.,Moderate
Ongoing hostage at commercial district. Multiple victims involved.,Immediate
"May natuklasang smugglin sa simbahan. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
"May isyu ng takutan sa residential area. Karaniwang bagay, walang kagyatan.",Moderate
Lost property report at park. Item turned in for safekeeping.,Low
Organized shooting at school. Major investigation underway.,High
May maliit na nawawalang gamit sa palengke. Kailangan ng karaniwang pag-aayos.,Low
"May pananakot sa community center. Nakatakas ang suspetsado, walang biktima.",Moderate
fight situation at residential area. Property maintenance needed.,Moderate
May routine check sa park. Kailangan ng administrative service.,Low
May reklamo ng ingay sa park. Maingay na musika mula sa kapitbahay.,Low
Parking violation at street corner. Vehicle parked incorrectly.,Low
In-progress weapon at commercial district. Emergency response needed.,Immediate
General routine at barangay. No immediate action needed.,Low
In-progress rapein at mall. Emergency response needed.,Immediate
May guluhin na kaguluhan sa barangay. Umalis ang suspetsado sa lugar.,Moderate
loitering at school. Non-violent incident occurred.,Moderate
"May isyu ng ingay sa apartment. Karaniwang bagay, walang kagyatan.",Moderate
"found property complaint at mall. Routine matter, no urgency.",Low
May ulat ng natagpuang gamit sa kapitbahayan. Para lamang sa insurance.,Low
May aktibong kill na sitwasyon sa barangay. Kailangan ng agad na tugon.,Immediate
Parking violation at kapitbahayan. Vehicle parked incorrectly.,Low
terrorist incident at kapitbahayan. Suspect still present and armed.,Immediate
"theft at barangay. Verbal incident, no physical harm.",Moderate
May lagay na naganap sa community center. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
"May natagpuang gamit sa community center. Nakuha ang gamit, walang suspetsado.",Low
May naiulat na nawawalang gamit sa mall. Ibinigay ang gamit para sa pag-iingat.,Low
Suspect with saksak threatening people at apartment. Active threat.,Immediate
found property report at apartment. For insurance purposes only.,Low
May naiulat na nawawalang gamit sa paaralan. Ibinigay ang gamit para sa pag-iingat.,Low
"minor violation inquiry at school. Information request, not urgent.",Low
May magnanakaw na kaguluhan sa barangay. Umalis ang suspetsado sa lugar.,Moderate
"Serious fraud reported at park. Victim hospitalized, investigation ongoing.",High
Ongoing rapein at church. Multiple victims involved.,Immediate
May insidente ng karahasan sa gusali. May armas pa ang suspetsado at nandiyan pa.,Immediate
harassment complaint at residential area. No immediate danger.,Moderate
May nangyayaring weapon sa barangay. Kailangan ng emergency response.,Immediate
Active stabbing happening at mall. Victim in immediate danger.,Immediate
Active murder happening at apartment. Victim in immediate danger.,Immediate
"Found property at apartment. Item recovered, no suspect.",Low
Active weapon happening at residential area. Victim in immediate danger.,Immediate
disorderly at kanto. Non-violent incident occurred.,Moderate
May nangyayaring weapon sa paaralan. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
drug lord that occurred at barangay. Suspects fled before police arrival.,High
May aktibong gun na nangyayari sa residential area. Nasa agarang panganib ang biktima.,Immediate
"May insidente ng holdapin sa gusali. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
"Past murder at commercial district. Suspects at large, investigation needed.",High
"Serious human trafficking reported at apartment. Victim hospitalized, investigation ongoing.",High
May organisadong rapein sa simbahan. Malaking imbestigasyon ang isinasagawa.,High
May seryosong pamamaril na operasyon sa community center. Malaking pinsala ang naganap.,High
Active stabbing situation at building. Immediate response required.,Immediate
Parking violation at barangay. Vehicle parked incorrectly.,Low
Active kidnapin crime at kapitbahayan. Suspects still at scene.,Immediate
"May insidente ng droga sa mall. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
"vandalism at apartment. Suspect fled, no victims present.",Moderate
"maintenance issue at neighborhood. General inquiry, non-emergency.",Low
May pangkalahatang ingay sa community center. Walang kagyat na aksyon na kailangan.,Low
trespassing incident at commercial district. Situation resolved peacefully.,Moderate
May nangyayaring baril sa kanto. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
"May tanong sa paaralan. Maliit na paglabag, walang banta.",Low
Parking violation at mall. Vehicle parked incorrectly.,Low
"sexual assault case at mall. Victim rescued, suspects arrested.",High
May suspetsado na may shooting na nagbabanta sa mga tao sa community center. Aktibong banta.,Immediate
noise disturbance at building. Suspect left the area.,Moderate
"May nakawin sa kapitbahayan. Verbal na insidente, walang pisikal na pinsala.",Moderate
"May tanong sa residential area. Non-violent na insidente, mababang priyoridad.",Low
bomba attack in progress at mall. People trapped inside.,Immediate
bribery that occurred at school. Suspects fled before police arrival.,High
trespassing incident at street corner. Situation resolved peacefully.,Moderate
May away sa kanto. Maliit na halaga ng gamit ang kasama.,Moderate
parking violation reported at commercial district. Minor damage occurred.,Moderate
hostage attack in progress at residential area. People trapped inside.,Immediate
sexual assault that occurred at commercial district. Suspects fled before police arrival.,High
May insidente ng guluhin sa komersyal na distrito. Na-resolve nang mapayapa ang sitwasyon.,Moderate
"inquiry at mall. Minor violation, no threat.",Low
Ongoing hostage at church. Multiple victims involved.,Immediate
"May isyu ng reklamo sa komersyal na distrito. Pangkalahatang tanong, hindi emergency.",Low
May pangkalahatang karaniwan sa kanto. Walang kagyat na aksyon na kailangan.,Low
May suspetsado na may rapein na nagbabanta sa mga tao sa simbahan. Aktibong banta.,Immediate
May nangyayaring saksakin sa mall. Kailangan ng emergency response.,Immediate
May guluhin sa komersyal na distrito. Non-violent na insidente ang naganap.,Moderate
Noise complaint at school. Loud music from neighbor.,Low
May aktibong bomba na krimen sa apartment. Nandiyan pa ang mga suspetsado.,Immediate
"May tanong tungkol sa ingay sa palengke. Hiling ng impormasyon, hindi kagyatan.",Low
"Found property at mall. Item recovered, no suspect.",Low
"May isyu ng awayin sa gusali. Karaniwang bagay, walang kagyatan.",Moderate
"extortion discovered at kanto. Evidence collected, suspect identified.",High
May insidente ng pagpatay sa park. May armas pa ang suspetsado at nandiyan pa.,Immediate
"May isyu ng magnanakaw sa kapitbahayan. Karaniwang bagay, walang kagyatan.",Moderate
May nangyayaring violence sa residential area. Kailangan ng emergency response.,Immediate
"drug cartel discovered at building. Evidence collected, suspect identified.",High
May pag-atake ng rape na nangyayari sa simbahan. Naipit ang mga tao sa loob.,Immediate
noise reported at church. Minor damage occurred.,Moderate
"Serious drug cartel reported at market. Victim hospitalized, investigation ongoing.",High
"May kaso ng lagayan sa paaralan. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
May gulo sa komersyal na distrito. Maliit na halaga ng gamit ang kasama.,Moderate
May malaking kaso ng kidnapin sa residential area. Maraming biktima ang apektado.,High
May maliit na natagpuang gamit sa kapitbahayan. Kailangan ng karaniwang pag-aayos.,Low
"May insidente ng lagay sa mall. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
Routine check at barangay. Administrative service needed.,Low
"minor violation at school. Non-violent incident, low priority.",Low
bomba happening now at apartment. Victims need immediate help.,Immediate
"May insidente ng rapein sa palengke. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
vandalism situation at church. Property maintenance needed.,Moderate
In-progress saksak at market. Emergency response needed.,Immediate
May aktibong kidnap na krimen sa kapitbahayan. Nandiyan pa ang mga suspetsado.,Immediate
"general inquiry at barangay. Information request, not urgent.",Low
rape happening now at residential area. Victims need immediate help.,Immediate
May naiulat na nawawalang gamit sa palengke. Ibinigay ang gamit para sa pag-iingat.,Low
theft at apartment. Small value items involved.,Moderate
"parking issue at kanto. General inquiry, non-emergency.",Low
May naiulat na away sa simbahan. Maliit na pinsala ang naganap.,Moderate
Active karahasan situation at park. Immediate response required.,Immediate
Ongoing saksakin at mall. Multiple victims involved.,Immediate
"May pag-aayos sa kapitbahayan. Maliit na paglabag, walang banta.",Low
"Serious sexual assault reported at kapitbahayan. Victim hospitalized, investigation ongoing.",High
May aktibong hostage na nangyayari sa kapitbahayan. Nasa agarang panganib ang biktima.,Immediate
In-progress terrorist at barangay. Emergency response needed.,Immediate
May nangyayaring hostage sa mall. Kailangan ng emergency response.,Immediate
"May insidente ng droga sa barangay. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
parking violation incident at kapitbahayan. Situation resolved peacefully.,Moderate
May paglabag sa parking sa community center. Mali ang pag-park ng sasakyan.,Low
"May natuklasang pamamaril sa apartment. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
"complaint inquiry at barangay. Information request, not urgent.",Low
May insidente ng ingay sa kanto. Na-resolve nang mapayapa ang sitwasyon.,Moderate
"parking violation issue at street corner. Routine matter, no urgency.",Moderate
"May nakaraang lagayan sa simbahan. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
Ongoing rape at kanto. Multiple victims involved.,Immediate
"Found property at residential area. Item recovered, no suspect.",Low
"Serious drug lord reported at market. Victim hospitalized, investigation ongoing.",High
"Past drug cartel at apartment. Suspects at large, investigation needed.",High
General inquiry at neighborhood. No immediate action needed.,Low
trespassing at neighborhood. Small value items involved.,Moderate
inquiry report at commercial district. For insurance purposes only.,Low
May naiulat na nakawin sa community center. Maliit na pinsala ang naganap.,Moderate
May away sa palengke. Maliit na halaga ng gamit ang kasama.,Moderate
May malaking kaso ng lagayan sa kapitbahayan. Maraming biktima ang apektado.,High
"May guluhin sa community center. Nakatakas ang suspetsado, walang biktima.",Moderate
disturbance situation at market. Property maintenance needed.,Moderate
kidnapin in progress at kanto. Suspect actively harming victim.,Immediate
May nangyayaring hostage sa komersyal na distrito. Kailangan ng emergency response.,Immediate
May ulat ng karaniwan sa komersyal na distrito. Para lamang sa insurance.,Low
May suspetsado na may hostage na nagbabanta sa mga tao sa community center. Aktibong banta.,Immediate
theft at neighborhood. Non-violent incident occurred.,Moderate
"minor violation complaint at community center. Routine matter, no urgency.",Low
stabbing attack in progress at market. People trapped inside.,Immediate
May aktibong terrorist na krimen sa kapitbahayan. Nandiyan pa ang mga suspetsado.,Immediate
Noise complaint at school. Loud music from neighbor.,Low
murder that occurred at community center. Suspects fled before police arrival.,High
May reklamo ng ingay sa kanto. Maingay na musika mula sa kapitbahay.,Low
May naiulat na ingay sa kapitbahayan. Maliit na pinsala ang naganap.,Moderate
"May nakaraang droga sa gusali. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
"May isyu ng ingay sa community center. Pangkalahatang tanong, hindi emergency.",Low
"May reklamo ng reklamo sa gusali. Karaniwang bagay, walang kagyatan.",Low
May seryosong lagayan na operasyon sa paaralan. Malaking pinsala ang naganap.,High
Active attack situation at market. Immediate response required.,Immediate
disorderly situation at commercial district. Property maintenance needed.,Moderate
"minor violation at apartment. Minor violation, no threat.",Low
"May natuklasang lagay sa kapitbahayan. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
"May insidente ng korupsyon sa palengke. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
Active karahasan situation at neighborhood. Immediate response required.,Immediate
petty theft at commercial district. Small value items involved.,Moderate
May insidente ng away sa kapitbahayan. Na-resolve nang mapayapa ang sitwasyon.,Moderate
"found property complaint at church. Routine matter, no urgency.",Low
Minor question at school. Routine maintenance needed.,Low
"May natagpuang gamit sa apartment. Nakuha ang gamit, walang suspetsado.",Low
"May nakaraang lagay sa komersyal na distrito. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
May aktibong gun na krimen sa apartment. Nandiyan pa ang mga suspetsado.,Immediate
May organisadong holdapin sa mall. Malaking imbestigasyon ang isinasagawa.,High
"Past attack at commercial district. Suspects at large, investigation needed.",High
May aktibong attack na nangyayari sa park. Nasa agarang panganib ang biktima.,Immediate
May seryosong lagayan na operasyon sa gusali. Malaking pinsala ang naganap.,High
petty theft complaint at apartment. No immediate danger.,Moderate
terorista attack in progress at kanto. People trapped inside.,Immediate
Lost property report at park. Item turned in for safekeeping.,Low
Noise complaint at barangay. Loud music from neighbor.,Low
terrorist incident at community center. Suspect still present and armed.,Immediate
May organisadong droga sa palengke. Malaking imbestigasyon ang isinasagawa.,High
May magnanakaw na kaguluhan sa barangay. Umalis ang suspetsado sa lugar.,Moderate
"question at neighborhood. Non-violent incident, low priority.",Low
"breaking and entering issue at church. Routine matter, no urgency.",Moderate
May naiulat na nakawin sa kapitbahayan. Maliit na pinsala ang naganap.,Moderate
"May nakaw sa komersyal na distrito. Verbal na insidente, walang pisikal na pinsala.",Moderate
parking violation disturbance at building. Suspect left the area.,Moderate
"Serious human trafficking reported at kanto. Victim hospitalized, investigation ongoing.",High
"property issue at apartment. General inquiry, non-emergency.",Low
May aktibong saksak na krimen sa kapitbahayan. Nandiyan pa ang mga suspetsado.,Immediate
"May kaso ng smugglin sa park. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
May awayin sa paaralan. Maliit na halaga ng gamit ang kasama.,Moderate
"May insidente ng smugglin sa residential area. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
May pananakot sa kapitbahayan. Non-violent na insidente ang naganap.,Moderate
parking violation reported at residential area. Minor damage occurred.,Moderate
May attack na nangyayari ngayon sa park. Kailangan ng agad na tulong ang mga biktima.,Immediate
May seryosong pamamaril na operasyon sa park. Malaking pinsala ang naganap.,High
theft reported at residential area. Minor damage occurred.,Moderate
noise at kanto. Non-violent incident occurred.,Moderate
May naiulat na nakawin sa barangay. Maliit na pinsala ang naganap.,Moderate
May naganap na pamamaril sa paaralan. Nakatakas ang suspetsado.,High
Routine check at park. Administrative service needed.,Low
"noise complaint at apartment. Routine matter, no urgency.",Low
May seryosong holdapin na operasyon sa mall. Malaking pinsala ang naganap.,High
May paglabag sa parking sa kapitbahayan. Mali ang pag-park ng sasakyan.,Low
May sitwasyon ng nakawin sa residential area. Kailangan ng pag-aayos ng ari-arian.,Moderate
"May natuklasang pusher sa residential area. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
May naiulat na away sa kapitbahayan. Maliit na pinsala ang naganap.,Moderate
May reklamo ng awayin sa residential area. Walang agarang panganib.,Moderate
inquiry report at church. For insurance purposes only.,Low
May sitwasyon ng pananakot sa paaralan. Kailangan ng pag-aayos ng ari-arian.,Moderate
violence happening now at kanto. Victims need immediate help.,Immediate
May nangyayaring kidnap sa apartment. Kailangan ng emergency response.,Immediate
May routine check sa apartment. Kailangan ng administrative service.,Low
kill happening now at kapitbahayan. Victims need immediate help.,Immediate
"Past corruption at park. Suspects at large, investigation needed.",High
"Found property at residential area. Item recovered, no suspect.",Low
"Past extortion at street corner. Suspects at large, investigation needed.",High
noise incident at commercial district. Situation resolved peacefully.,Moderate
disorderly incident at market. Situation resolved peacefully.,Moderate
May naganap na pamamaril sa apartment. Nakatakas ang suspetsado.,High
Serious smuggling operation at market. Significant damage occurred.,High
disturbance complaint at kanto. No immediate danger.,Moderate
May ingay na kaguluhan sa simbahan. Umalis ang suspetsado sa lugar.,Moderate
"May takutan sa komersyal na distrito. Verbal na insidente, walang pisikal na pinsala.",Moderate
"Past bribery at kapitbahayan. Suspects at large, investigation needed.",High
May seryosong lagayan na operasyon sa gusali. Malaking pinsala ang naganap.,High
kidnapin happening now at barangay. Victims need immediate help.,Immediate
parking violation at barangay. Small value items involved.,Moderate
"May insidente ng droga sa community center. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
"May nakaraang pusher sa barangay. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
Noise complaint at church. Loud music from neighbor.,Low
"May tanong tungkol sa pag-aayos sa paaralan. Hiling ng impormasyon, hindi kagyatan.",Low
"Serious corruption reported at park. Victim hospitalized, investigation ongoing.",High
"May naiulat na seryosong smugglin sa park. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
smuggling occurred at residential area. Suspect fled the scene.,High
May reklamo ng ingay sa paaralan. Maingay na musika mula sa kapitbahay.,Low
May guluhin sa komersyal na distrito. Non-violent na insidente ang naganap.,Moderate
"May ingay sa residential area. Verbal na insidente, walang pisikal na pinsala.",Moderate
"question at barangay. Non-violent incident, low priority.",Low
Major human trafficking case at kapitbahayan. Multiple victims affected.,High
May attack na nangyayari ngayon sa park. Kailangan ng agad na tulong ang mga biktima.,Immediate
Organized smuggling at school. Major investigation underway.,High
noise at mall. Small value items involved.,Moderate
Serious human trafficking operation at neighborhood. Significant damage occurred.,High
saksakin in progress at school. Suspect actively harming victim.,Immediate
"Serious drug lord reported at apartment. Victim hospitalized, investigation ongoing.",High
"May naiulat na seryosong holdap sa gusali. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
"May maliit na paglabag sa komersyal na distrito. Maliit na paglabag, walang banta.",Low
"drug trafficking discovered at market. Evidence collected, suspect identified.",High
"parking at community center. Minor violation, no threat.",Low
In-progress rape at barangay. Emergency response needed.,Immediate
May naiulat na ingay sa kapitbahayan. Maliit na pinsala ang naganap.,Moderate
May pag-atake ng weapon na nangyayari sa apartment. Naipit ang mga tao sa loob.,Immediate
May sitwasyon ng away sa apartment. Kailangan ng pag-aayos ng ari-arian.,Moderate
May nangyayaring gun sa mall. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
May aktibong violence na krimen sa mall. Nandiyan pa ang mga suspetsado.,Immediate
"vandalism at mall. Verbal incident, no physical harm.",Moderate
Active saksakin happening at mall. Victim in immediate danger.,Immediate
May insidente ng awayin sa park. Na-resolve nang mapayapa ang sitwasyon.,Moderate
"drug lord discovered at church. Evidence collected, suspect identified.",High
"Serious bribery reported at market. Victim hospitalized, investigation ongoing.",High
"property at church. Minor violation, no threat.",Low
Organized shooting at community center. Major investigation underway.,High
May stabbing na nangyayari ngayon sa mall. Kailangan ng agad na tulong ang mga biktima.,Immediate
May maliit na ingay sa kanto. Kailangan ng karaniwang pag-aayos.,Low
May lagay na naganap sa apartment. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
found property report at market. For insurance purposes only.,Low
